DistrictName,MandalName,PanchayatId,PanchayatName,DateofRegister,Gender,year,month
Jangoan ,Jangaon,213639,Pasarmadla,01-01-2023,2,2023,January
Yadadri Bhuvanagiri,B.Pochampally,208014,Indriyala,01-01-2023,2,2023,January
Nizamabad,Bodhan,209329,Hangarga (V),01-01-2023,2,2023,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,01-01-2023,1,2023,January
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-01-2023,2,2023,January
Nizamabad,Renjal,209764,Satapur,01-01-2023,1,2023,January
Yadadri Bhuvanagiri,Valigonda,208182,Arrur,01-01-2023,2,2023,January
Mahabubnagar,Nawabpet,210154,Kothapally,01-01-2024,1,2024,January
Adilabad ,Gadiguda,195535,Gadiguda,01-01-2024,2,2024,January
Sangareddy ,Sirgapoor,206372,Gardegaon,01-01-2024,2,2024,January
Sangareddy ,Kalher,206352,Kalher,01-01-2024,1,2024,January
Kumuram Bheem Asifabad ,Rebbena,195613,Rebbana,01-01-2024,1,2024,January
Medak,Papannapet,206710,Papannapet,01-02-2023,2,2023,February
Mahabubnagar,Gandeed,210030,Rangareddy Palle,01-02-2023,1,2023,February
Rangareddy,Maheshwaram,210179,Maheshwaram,01-02-2023,1,2023,February
Nizamabad,Sirkonda,209795,Hussain Nagar,01-02-2023,2,2023,February
Rangareddy,Maheshwaram,210179,Maheshwaram,01-02-2023,2,2023,February
Bhadradri Kothagudem ,Aswaraopeta,202138,Gummadavalli,01-02-2023,2,2023,February
Bhadradri Kothagudem ,Aswaraopeta,202138,Gummadavalli,01-02-2023,2,2023,February
Yadadri Bhuvanagiri,Rajapet,208045,Rajapet,01-03-2023,1,2023,March
Sangareddy ,Kangti,206375,Kangti,01-03-2023,1,2023,March
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,01-03-2023,1,2023,March
Medchal Malkajigiri,Shamirpet,210464,Shameerpet,01-03-2023,2,2023,March
Sangareddy ,Kangti,206375,Kangti,01-03-2023,1,2023,March
Jangoan ,Jangaon,213639,Pasarmadla,01-03-2023,2,2023,March
Jogulamba Gadwal ,Dharur,205096,Uppair,01-03-2023,2,2023,March
Kamareddy ,Madnur,209574,Madnur,01-03-2023,1,2023,March
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,01-03-2023,1,2023,March
Sangareddy ,Kangti,206375,Kangti,01-03-2023,1,2023,March
Kamareddy ,Nizamsagar,278481,Mohammednagar,01-03-2023,1,2023,March
Wanaparthy,Pebbair,205826,Rampur,01-03-2023,1,2023,March
Adilabad ,Narnoor,195551,Tadihadpanur,01-03-2023,1,2023,March
Medak,Kowdipalli,206453,Kowdipalli,01-03-2023,2,2023,March
Medak,Kowdipalli,206453,Kowdipalli,01-03-2023,2,2023,March
Medak,Kowdipalli,206453,Kowdipalli,01-03-2023,2,2023,March
Sangareddy ,Manoor,206491,Manoor,01-03-2023,2,2023,March
Kamareddy ,Madnur,209574,Madnur,01-03-2023,1,2023,March
Medak,Kowdipalli,206453,Kowdipalli,01-03-2023,1,2023,March
Nizamabad,Kotgiri,209510,Kotgir,01-03-2023,2,2023,March
Bhadradri Kothagudem ,Dummugudem,279707,Mulkapadu,01-03-2023,1,2023,March
Nizamabad,Kotgiri,209510,Kotgir,01-03-2023,2,2023,March
Wanaparthy,Peddamandadi,280436,Buggapally Thanda,01-03-2023,2,2023,March
Mulugu,Govindaraopet,213560,Govindaraopeta,01-04-2023,1,2023,April
Nizamabad,Varni,279908,Chinthalpet Thanda,01-04-2023,2,2023,April
Mancherial,Tandur,195703,Tandur,01-04-2023,2,2023,April
Nizamabad,Indalwai,209370,Sirnapally,01-04-2023,1,2023,April
Mulugu,Govindaraopet,213560,Govindaraopeta,01-04-2023,1,2023,April
Rangareddy,Moinabad,210259,Moinabad,01-04-2023,2,2023,April
Jangoan ,Bachannapeta,213284,Bachannapeta,01-04-2023,1,2023,April
Kumuram Bheem Asifabad ,Chintalamanepally,194962,Gudem,01-04-2023,1,2023,April
Mulugu,Govindaraopet,213560,Govindaraopeta,01-04-2023,1,2023,April
Mulugu,Govindaraopet,213560,Govindaraopeta,01-04-2023,2,2023,April
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,01-04-2023,2,2023,April
Suryapet,Mella Chervu,207673,Mellacheruvu,01-04-2023,2,2023,April
Sangareddy ,Patancheru,206728,Muthangi,01-05-2023,1,2023,May
Peddapalli,Dharmaram,201085,Dharmaram,01-05-2023,2,2023,May
Peddapalli,Dharmaram,201085,Dharmaram,01-05-2023,2,2023,May
Kamareddy ,Bichkunda,209282,Bichkunda,01-05-2023,2,2023,May
Peddapalli,Dharmaram,201085,Dharmaram,01-05-2023,2,2023,May
Wanaparthy,Pebbair,205813,Ayyavaripally,01-05-2023,1,2023,May
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-05-2023,2,2023,May
Wanaparthy,Pebbair,205813,Ayyavaripally,01-05-2023,2,2023,May
Mahabubnagar,Koilkonda,205382,Koilkonda,01-05-2023,2,2023,May
Nirmal,Mudhole,195522,Mudhole,01-05-2023,2,2023,May
Nirmal,Kaddam (Peddur),195283,Peddur,01-05-2023,2,2023,May
Medak,Yeldurthy,207057,Yeldurthy,01-06-2023,1,2023,June
Suryapet,Mella Chervu,207673,Mellacheruvu,01-06-2023,1,2023,June
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-06-2023,2,2023,June
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-06-2023,2,2023,June
Adilabad ,Utnoor,195751,Utnur,01-06-2023,1,2023,June
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-06-2023,1,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,1,2023,June
